datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,source_file
2026-05-20 17:31:37.878,1181837334.0,341878.0,2.0,0.8999,-0.26831,0.2041,1.481,54.74,4.84,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:37.078,1181836534.0,342078.0,1.0,0.77148,0.03247,0.70142,19.847,-2.328,-6.275,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:37.078,1181836534.0,342078.0,2.0,0.87573,-0.25879,0.36377,-13.092,27.176,-1.618,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:37.278,1181836734.0,342278.0,1.0,1.15527,-0.052,0.95557,-42.496,-60.992,-8.824,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:37.278,1181836734.0,342278.0,2.0,1.50977,-0.53979,0.4292,-41.618,-22.924,-0.664,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.478,1181837934.0,342478.0,1.0,0.85376,-0.05688,0.53467,-2.45,-6.809,-18.122,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.478,1181837934.0,342478.0,2.0,0.71216,-0.33154,0.13477,-0.847,-7.466,4.107,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.678,1181838134.0,342678.0,1.0,0.91455,0.03101,0.53052,-27.588,-13.695,-1.122,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.678,1181838134.0,342678.0,2.0,1.1377,-0.46802,0.25757,5.061,2.031,4.122,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.878,1181838334.0,342878.0,1.0,1.04443,0.02222,0.78833,-1.382,1.672,-2.588,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.878,1181838334.0,342878.0,2.0,1.52002,-0.57056,0.41846,15.695,3.328,-7.977,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.078,1181837534.0,343078.0,1.0,0.87231,0.0061,0.78442,-1.206,65.359,-19.794,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.078,1181837534.0,343078.0,2.0,0.89258,-0.31323,0.33374,9.962,18.763,2.16,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.278,1181837734.0,343278.0,1.0,0.69238,0.14136,1.03027,-2.687,35.557,-3.115,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:38.278,1181837734.0,343278.0,2.0,0.90503,-0.34961,0.41431,8.733,-1.321,-1.183,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.478,1181838934.0,343478.0,1.0,0.63306,0.03027,0.85742,-3.351,-0.015,9.366,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.478,1181838934.0,343478.0,2.0,0.76123,-0.22412,0.32813,-1.427,-5.71,-3.29,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.678,1181839134.0,343678.0,1.0,0.31763,0.01294,0.73193,7.511,-49.366,17.427,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.678,1181839134.0,343678.0,2.0,0.65649,-0.21313,0.12256,6.359,-62.313,0.695,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.878,1181839334.0,343878.0,1.0,0.81348,0.03662,0.51367,53.13,-58.435,33.084,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.878,1181839334.0,343878.0,2.0,1.01416,-0.31665,0.19604,10.985,-32.153,4.519,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.078,1181838534.0,344078.0,1.0,1.05396,-0.01489,0.38965,13.908,-23.855,16.229,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.078,1181838534.0,344078.0,2.0,1.00146,-0.25879,0.0415,1.42,-14.58,-4.771,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.278,1181838734.0,344278.0,1.0,0.93701,-0.03906,0.52515,0.924,-1.305,0.344,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:39.278,1181838734.0,344278.0,2.0,0.9834,-0.2915,-0.00708,-3.29,-3.374,-1.267,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:40.520,1181839976.0,344520.0,1.0,0.96851,-0.04224,0.49731,-8.389,-2.672,-2.954,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:40.520,1181839976.0,344520.0,2.0,0.98877,-0.26245,-0.02661,-7.901,-0.481,-0.023,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:40.720,1181840176.0,344720.0,1.0,0.97339,-0.04492,0.47339,-6.405,-2.992,-1.618,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:40.720,1181840176.0,344720.0,2.0,0.94019,-0.40942,0.22144,9.672,-10.252,-0.45,imu_2026-05-20(Alifi).csv
